Game;ReleaseDate;Genre;LANEarnings;OnlineEarnings;TotalPlayers;TotalTournaments;AllEarnings;TierCompetitive
Asuka 120% LimitOver BURNING Fest.;1998;Fighting Game;10;0;3;1;10;5
Clash Royale x Chess;2022;Strategy;0;0;0;0;0;0
Endgods;2015;Strategy;0;0;0;0;0;0
Heroes of Might and Magic III;1999;Strategy;0;0;0;0;0;0
Iron Harvest;2020;Strategy;0;0;0;0;0;0
Legion TD 2;2021;Strategy;0;0;0;0;0;0
Men of War: Assault Squad 2;2014;Strategy;0;0;0;0;0;0
Warhammer 40,000: Dawn of War II;2009;Strategy;0;0;0;0;0;0
Alliance of Valiant Arms;2009;First-Person Shooter;0;0;0;0;0;0
Battlefield 1;2016;First-Person Shooter;0;0;0;0;0;0
Battlefield V;2018;First-Person Shooter;0;0;0;0;0;0
EV.IO;2021;First-Person Shooter;0;0;0;0;0;0
Ironsight;2018;First-Person Shooter;0;0;0;0;0;0
Islands of Nyne;2017;First-Person Shooter;0;0;0;0;0;0
Rainbow Six Extraction;2022;First-Person Shooter;0;0;0;0;0;0
Resistance 2;2008;First-Person Shooter;0;0;0;0;0;0
Rust;2013;First-Person Shooter;0;0;0;0;0;0
Sudden Attack;2005;First-Person Shooter;0;0;0;0;0;0
Vail VR;2022;First-Person Shooter;0;0;0;0;0;0
Zula;2015;First-Person Shooter;0;0;0;0;0;0
Dofus;2004;Multiplayer Online Battle Arena;0;0;0;0;0;0
Roblox;2006;Multiplayer Online Battle Arena;0;0;0;0;0;0
Teeworlds;2007;Multiplayer Online Battle Arena;0;0;0;0;0;0
Chivalry 2;2021;Role-Playing Game;0;0;0;0;0;0
BlazBlue: Continuum Shift Extend;2011;Fighting Game;0;0;3;1;0;0
Brawlout;2017;Fighting Game;0;0;0;0;0;0
Dead or Alive 5;2012;Fighting Game;0;0;4;2;0;0
Dead or Alive 5 Ultimate;2013;Fighting Game;0;0;37;7;0;0
Guilty Gear XX;2002;Fighting Game;0;0;5;2;0;0
Guilty Gear XX #Reload;2003;Fighting Game;0;0;3;1;0;0
Guilty Gear XX Accent Core Plus;2008;Fighting Game;0;0;3;1;0;0
Melty Blood: Actress Again;2009;Fighting Game;0;0;10;2;0;0
Mortal Kombat vs. DC Universe;2008;Fighting Game;0;0;3;1;0;0
Tekken Tag Tournament;1999;Fighting Game;0;0;7;4;0;0
TowerFall: Ascension;2013;Fighting Game;0;0;0;0;0;0
Virtua Fighter 4: Evolution;2002;Fighting Game;0;0;6;3;0;0
Epic Roller Coasters VR;2018;Racing;0;0;0;0;0;0
Hot Lap League;2021;Racing;0;0;0;0;0;0
Jak 3;2004;Racing;0;0;0;0;0;0
Jak II;2003;Racing;0;0;14;1;0;0
Marbles on Stream;2018;Racing;0;0;0;0;0;0
Trackmania United Forever;2008;Racing;0;0;0;0;0;0
Trials Fusion;2014;Racing;0;0;0;0;0;0
Dream league Soccer;2019;Sports;0;0;0;0;0;0
Eleven Table Tennis;2016;Sports;0;0;0;0;0;0
Groove Gunner;2020;Sports;0;0;0;0;0;0
Guitar Hero: World Tour;2008;Sports;0;0;0;0;0;0
Just Dance 2014;2014;Sports;0;0;3;1;0;0
Just Hoops;2021;Sports;0;0;0;0;0;0
NBA 2K Online;2012;Sports;0;0;0;0;0;0
NBA 2K19;2018;Sports;0;0;0;0;0;0
NBA 2K20;2019;Sports;0;0;0;0;0;0
NHL 17;2016;Sports;0;0;0;0;0;0
Pro Evolution Soccer 2013;2012;Sports;0;0;0;0;0;0
Ragnaröck;2021;Sports;0;0;0;0;0;0
Slapshot Rebound;2020;Sports;0;0;0;0;0;0
Soccer Stars;2018;Sports;0;0;0;0;0;0
KARDS, The World War II Card Game;2019;Collectible Card Game;0;0;0;0;0;0
Pokémon TCG;1996;Collectible Card Game;0;0;0;0;0;0
Shardbound;2017;Collectible Card Game;0;0;0;0;0;0
Pac-man;1981;Puzzle Game;0;0;0;0;0;0
Apex Legends Mobile;2022;Battle Royale;0;0;0;0;0;0
Ark: Survival Of The Fittest;2017;Battle Royale;0;0;0;0;0;0
Rules Of Survival;2017;Battle Royale;0;0;0;0;0;0
Knockout City;2021;Third-Person Shooter;0;0;0;0;0;0
